ts:2018-12-13 12:48:38; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF5,0xFF,0xB8,0x01]
ts:2018-12-13 12:50:15; id:0x00000281; DLC:8; data:[0xF9,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 12:50:36; id:0x00000381; DLC:8; data:[0xBB,0x01,0x96,0x00,0xCA,0x00,0xAC,0x01]
ts:2018-12-13 12:52:18; id:0x00000201; DLC:8; data:[0xCC,0x40,0x49,0x02,0x32,0x00,0xFA,0x00]
ts:2018-12-13 12:53:46; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF5,0xFF,0xB8,0x01]
ts:2018-12-13 12:55:23; id:0x00000281; DLC:8; data:[0xF8,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 12:55:44; id:0x00000381; DLC:8; data:[0xBB,0x01,0x95,0x00,0xC9,0x00,0xAB,0x01]
ts:2018-12-13 12:57:26; id:0x00000201; DLC:8; data:[0xCC,0x40,0x4A,0x02,0x33,0x00,0xFA,0x00]
ts:2018-12-13 12:58:54; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF5,0xFF,0xB8,0x01]
ts:2018-12-13 13:00:31; id:0x00000281; DLC:8; data:[0xF9,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 13:00:52; id:0x00000381; DLC:8; data:[0xBA,0x01,0x96,0x00,0xC9,0x00,0xAD,0x01]
ts:2018-12-13 13:02:34; id:0x00000201; DLC:8; data:[0xCC,0x40,0x48,0x02,0x34,0x00,0xF9,0x00]
ts:2018-12-13 13:04:02; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF5,0xFF,0xB8,0x01]
ts:2018-12-13 13:05:39; id:0x00000281; DLC:8; data:[0xFA,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 13:06:00; id:0x00000381; DLC:8; data:[0xB9,0x01,0x94,0x00,0xC8,0x00,0xAA,0x01]
ts:2018-12-13 13:07:42; id:0x00000201; DLC:8; data:[0xCC,0x40,0x47,0x02,0x31,0x00,0xF9,0x00]
ts:2018-12-13 13:09:10; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF5,0xFF,0xB9,0x01]
ts:2018-12-13 13:10:47; id:0x00000281; DLC:8; data:[0xF8,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 13:11:08; id:0x00000381; DLC:8; data:[0xB8,0x01,0x94,0x00,0xC9,0x00,0xA8,0x01]
ts:2018-12-13 13:12:50; id:0x00000201; DLC:8; data:[0xCC,0x40,0x46,0x02,0x32,0x00,0xFA,0x00]
ts:2018-12-13 13:14:18; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF5,0xFF,0xBA,0x01]
ts:2018-12-13 13:15:55; id:0x00000281; DLC:8; data:[0xFB,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 13:16:16; id:0x00000381; DLC:8; data:[0xB7,0x01,0x93,0x00,0xC8,0x00,0xA9,0x01]
ts:2018-12-13 13:17:58; id:0x00000201; DLC:8; data:[0xCD,0x40,0x45,0x02,0x35,0x00,0xFB,0x00]
ts:2018-12-13 13:19:26; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF5,0xFF,0xB9,0x01]
ts:2018-12-13 13:21:03; id:0x00000281; DLC:8; data:[0xFA,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 13:21:24; id:0x00000381; DLC:8; data:[0xB7,0x01,0x93,0x00,0xC8,0x00,0xA8,0x01]
ts:2018-12-13 13:23:05; id:0x00000201; DLC:8; data:[0xCD,0x40,0x46,0x02,0x35,0x00,0xFB,0x00]
ts:2018-12-13 13:24:34; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF5,0xFF,0xB9,0x01]
ts:2018-12-13 13:26:11; id:0x00000281; DLC:8; data:[0xFA,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 13:26:32; id:0x00000381; DLC:8; data:[0xB6,0x01,0x93,0x00,0xC8,0x00,0xA9,0x01]
ts:2018-12-13 13:28:13; id:0x00000201; DLC:8; data:[0xCD,0x40,0x44,0x02,0x32,0x00,0xFC,0x00]
ts:2018-12-13 13:29:42; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB8,0x01]
